Research Field,Number of Authors,Average H-Index,Average i10-Index,Max H-Index,Min H-Index,Total H-Index
Pe Pedagogy,1,6.0,3.0,6,6,6
Qulit Des Sols,1,6.0,5.0,6,6,6
Medical Image,2,6.0,4.0,8,4,12
Medical Textile & Biomaterials,1,6.0,3.0,6,6,6
Intention Mining,1,6.0,3.0,6,6,6
Solar Thermal Energy,1,6.0,4.0,6,6,6
Network Traffic Management,1,6.0,3.0,6,6,6
Chimie Organomtallique,1,6.0,4.0,6,6,6
Context-Aware Computing,1,6.0,4.0,6,6,6
Microbiologie Du Sol,1,6.0,5.0,6,6,6
Chirurgie Gyncologique,1,6.0,5.0,6,6,6
Banking Economics,1,6.0,5.0,6,6,6
Surface Modification,1,6.0,6.0,6,6,6
Iot & Embedded Systems,1,6.0,2.0,6,6,6
Water Pollution,1,6.0,4.0,6,6,6
Service Level Agreement,1,6.0,4.0,6,6,6
Databases Security,1,6.0,1.0,6,6,6
Clifford Analysis,1,6.0,4.0,6,6,6
Cooperative Vehicle,1,6.0,5.0,6,6,6
Marketing Communication,1,6.0,6.0,6,6,6
Scm,1,6.0,4.0,6,6,6
Fluids Mechanics,1,6.0,5.0,6,6,6
Relay Selection,1,6.0,5.0,6,6,6
Mechanical Vibration,1,6.0,6.0,6,6,6
Optoelectronics Devices,1,6.0,4.0,6,6,6
Cmos Integrated Circuit,1,6.0,3.0,6,6,6
Distributed Computing (Grid And Cloud),1,6.0,3.0,6,6,6
Identification Chimique,1,6.0,5.0,6,6,6
Human Development,2,6.0,4.5,8,4,12
Semiparametric And Nonparametric Methods,1,6.0,5.0,6,6,6
Photovoltaic System,1,6.0,3.0,6,6,6
Physique (Nergtique),1,6.0,3.0,6,6,6
Chimie De L'Etat Solide,1,6.0,3.0,6,6,6
Design Research,1,6.0,6.0,6,6,6
Handwriting Movment Modeling,1,6.0,5.0,6,6,6
Position Sensors,1,6.0,4.0,6,6,6
Topologie Spectrale,1,6.0,4.0,6,6,6
Post-Colonial And Post-Modern Studies,1,6.0,4.0,6,6,6
Nonlinear System,1,6.0,3.0,6,6,6
Hybrid System,1,6.0,3.0,6,6,6
Sex Allocation Theory,1,6.0,1.0,6,6,6
Dissipative Pde'S,1,6.0,3.0,6,6,6
Cognitive Radio Networks,1,6.0,5.0,6,6,6
Chemoinformatics,1,6.0,5.0,6,6,6
Software Testing And Optimization,1,6.0,3.0,6,6,6
Alimentation,1,6.0,4.0,6,6,6
Antennes Et Dispositifs Micro-Onde,1,6.0,4.0,6,6,6
Anaerobic Digestion,1,6.0,1.0,6,6,6
Corporae Governance,1,6.0,4.0,6,6,6
Discrete Wavelet Transform,1,6.0,4.0,6,6,6
Cardiovascular Pathophysiology,1,6.0,3.0,6,6,6
Ent,1,6.0,4.0,6,6,6
Replication,1,6.0,3.0,6,6,6
Chimie Gnrale,1,6.0,5.0,6,6,6
Dependability Analysis,1,6.0,6.0,6,6,6
Deep Reinforcement Learning,1,6.0,5.0,6,6,6
Adas,1,6.0,5.0,6,6,6
Probabilistic Modeling,1,6.0,6.0,6,6,6
Software Engeneering,1,6.0,3.0,6,6,6
Pulsed Electric Field,1,6.0,1.0,6,6,6
Mechanism And Machine Theory,1,6.0,3.0,6,6,6
Integrated Management,1,6.0,2.0,6,6,6
Optimization & Decision Aid,1,6.0,4.0,6,6,6
Geometry And Analysis On Graphs And On,1,6.0,5.0,6,6,6
Chimie Organique : Synthse Htrocyclique,1,6.0,1.0,6,6,6
Finance And Accounting,1,6.0,5.0,6,6,6
Finance Quantitative,1,6.0,5.0,6,6,6
Design Communication,1,6.0,6.0,6,6,6
Nanoindentation,1,6.0,4.0,6,6,6
Navier-Stokes Type Equations,1,6.0,3.0,6,6,6
Systme Dynamique - Thorie De Mesures,1,6.0,6.0,6,6,6
Systme D'Information,1,6.0,4.0,6,6,6
Mthodologies De Conceptions,1,6.0,2.0,6,6,6
Container Technology (Docker) And Devops,1,6.0,3.0,6,6,6
Simulation Numrique Et Analyses Des,1,6.0,4.0,6,6,6
Finance And Management,1,6.0,3.0,6,6,6
Asthme,1,6.0,3.0,6,6,6
Commutative Algebra,2,6.0,5.0,10,2,12
Bdcm Motor,1,6.0,2.0,6,6,6
Hybrid Systems,3,6.0,5.0,8,2,18
Comptabilit De Gestion,1,6.0,4.0,6,6,6
Otology,1,6.0,4.0,6,6,6
Tectonique,1,6.0,4.0,6,6,6
Quntum Cellular Automata (Qca),1,6.0,3.0,6,6,6
Photocatalyse,3,6.0,7.0,14,1,18
Marketing Des Services,1,6.0,5.0,6,6,6
Politiques Agricoles,1,6.0,4.0,6,6,6
Conception Et Commande Des Machines,1,6.0,3.0,6,6,6
Transformations Mt,1,6.0,1.0,6,6,6
Stochastics And Finance,1,6.0,1.0,6,6,6
Hydraulic Engineering,1,6.0,4.0,6,6,6
Smart Antenna,1,6.0,1.0,6,6,6
Ppdm,1,6.0,4.0,6,6,6
Mobile-To-Mobile Communications,1,6.0,3.0,6,6,6
Nitrate,1,6.0,4.0,6,6,6
Data Management,1,6.0,4.0,6,6,6
Sic,1,6.0,6.0,6,6,6
Carrier Ethernet Networks,1,6.0,5.0,6,6,6
Battery,1,6.0,4.0,6,6,6
Feminist Studies,1,6.0,4.0,6,6,6
Couche Mince D'Oxyde,1,6.0,3.0,6,6,6
Fanet,1,6.0,4.0,6,6,6
Stochastic Simulation,1,6.0,5.0,6,6,6
Wavelet Analysis,1,6.0,4.0,6,6,6
Deep Learning - Artificial Intelligence,1,6.0,4.0,6,6,6
Mathematical Programming,2,6.0,4.0,7,5,12
Ppdp,1,6.0,4.0,6,6,6
Traitement D'Images Mdicales,3,6.0,4.67,10,3,18
Solid State Physics Quantum Physics Self,1,6.0,3.0,6,6,6
Host-Parasite Interaction,1,6.0,1.0,6,6,6
Cogntive Research,1,6.0,4.0,6,6,6
Networks Security,1,6.0,1.0,6,6,6
Rsistance Aux Antifongiques,1,6.0,5.0,6,6,6
New Teaching Methods,1,6.0,2.0,6,6,6
And Corruption In Bank Lending,1,6.0,2.0,6,6,6
Semiconductor Device Physics,2,6.0,4.0,7,5,12
Indexing Techniques,1,6.0,4.0,6,6,6
Image Analysis,1,6.0,6.0,6,6,6
Smart Cities,4,6.0,5.5,13,1,24
Geomaterials - Cements - White And Colored,1,6.0,2.0,6,6,6
Metrics,1,6.0,5.0,6,6,6
Ubiquitous And Mobile Learning,1,6.0,4.0,6,6,6
Modlisation Hydrogologique,1,6.0,5.0,6,6,6
Sensorial Marketing,1,6.0,5.0,6,6,6
Systme De Communication,1,6.0,4.0,6,6,6
Model Quality,1,6.0,5.0,6,6,6
Corporate Social Responsability,1,6.0,4.0,6,6,6
Dynamic Reconfiguration,1,6.0,3.0,6,6,6
Composting,1,6.0,6.0,6,6,6
Decision Science,1,6.0,3.0,6,6,6
Ab Initio,1,6.0,6.0,6,6,6
Sant Et Scurit Au Travail,1,6.0,5.0,6,6,6
Radiologie Interventionnelle,1,6.0,4.0,6,6,6
Compactification D'Espaces Topologiques,1,6.0,4.0,6,6,6
Battery Monitoring,1,6.0,4.0,6,6,6
Engineering - Electrical-Renewable Energy,1,6.0,3.0,6,6,6
Erp,1,6.0,4.0,6,6,6
Cooperative Communication,1,6.0,5.0,6,6,6
Modlisation Conomique,1,6.0,4.0,6,6,6
Cologie,1,6.0,4.0,6,6,6
Cardiolgy Recherche Mdicale,1,6.0,3.0,6,6,6
Web,1,6.0,5.0,6,6,6
Organic Agriculture,1,6.0,6.0,6,6,6
Computer And Embedded Systems Laboratory,1,6.0,3.0,6,6,6
Geosciences,1,6.0,6.0,6,6,6
Activit Biologique,1,6.0,4.0,6,6,6
Pathologie Professionnelle,1,6.0,3.0,6,6,6
Gntique Molculaire En Onco-Hmatologie,1,6.0,2.0,6,6,6
Li-Ion Battery,1,6.0,4.0,6,6,6
Video Surveillance,5,6.0,4.4,11,3,30
Sports Training Study,1,6.0,3.0,6,6,6
3D Vision,1,6.0,6.0,6,6,6
Raman And Ir Spectroscopy,1,6.0,4.0,6,6,6
Farming Systems Small Ruminant,1,6.0,3.0,6,6,6
Chimie De Matriaux,2,6.0,4.0,7,5,12
Activits Biologiques,1,6.0,5.0,6,6,6
Traitement Du Signal Et D'Images,1,6.0,5.0,6,6,6
Observer,2,6.0,4.0,8,4,12
Phytothrapie,1,6.0,3.0,6,6,6
Scada,3,6.0,11.0,15,1,18
Mcanique/Textile,1,6.0,5.0,6,6,6
Proprits Structurales,1,6.0,4.0,6,6,6
Amp,1,6.0,5.0,6,6,6
Finance Comporteme,1,6.0,4.0,6,6,6
Bovin,1,6.0,4.0,6,6,6
Mechanical Engineering-Metal Sheet Forming,1,6.0,3.0,6,6,6
System Modeling,1,6.0,4.0,6,6,6
Collaborative Annotation,1,6.0,3.0,6,6,6
Plant Diseases,1,6.0,2.0,6,6,6
Domaine Of Attraction,1,6.0,3.0,6,6,6
Frtilit Des Sols,1,6.0,5.0,6,6,6
Planification De Trajectoire,1,6.0,3.0,6,6,6
Comptabilite,1,6.0,5.0,6,6,6
Graphic Novels,1,6.0,4.0,6,6,6
Recurrent Neural Networks,1,6.0,6.0,6,6,6
Metaheuristic Algorithms,1,6.0,6.0,6,6,6
Sustainable Crop Protection,1,6.0,2.0,6,6,6
Network Optimization,2,6.0,3.5,7,5,12
Art Marketing,1,6.0,5.0,6,6,6
Soa,3,6.0,5.33,12,1,18
Optimization And Energy Aware Routing,1,6.0,5.0,6,6,6
Hydroforming,1,6.0,3.0,6,6,6
Probabilites,1,6.0,4.0,6,6,6
Antenna Array Synthesis,1,6.0,1.0,6,6,6
Soft-Defined Networking,1,6.0,5.0,6,6,6
Mycologie Mdicale,1,6.0,5.0,6,6,6
Semiotic,1,6.0,6.0,6,6,6
Ordonnancement,2,6.0,4.5,9,3,12
Circular Economy,1,6.0,3.0,6,6,6
Digital Twin For Smart Manufacturing,1,6.0,5.0,6,6,6
Resource Provisioning,1,6.0,4.0,6,6,6
Thermodynamique,2,6.0,6.5,10,2,12
Wastewater,1,6.0,3.0,6,6,6
Physique Des Colloides,1,6.0,5.0,6,6,6
Eaux Souterraines,1,6.0,4.0,6,6,6
Economtrie & Economie,2,6.0,3.5,6,6,12
Operational Transcondu,1,6.0,3.0,6,6,6
Biofilm,1,6.0,3.0,6,6,6
Air Conditioning,1,6.0,4.0,6,6,6
Tlcom Et Rseaux,1,6.0,2.0,6,6,6
Unix System Programming,1,6.0,4.0,6,6,6
Sintering,1,6.0,5.0,6,6,6
Numerical Modelling,1,6.0,5.0,6,6,6
Geostatistic,1,6.0,5.0,6,6,6
Goal Programming,1,6.0,6.0,6,6,6
Crmes,1,6.0,3.0,6,6,6
Qualit,1,6.0,4.0,6,6,6
Imagerie Fonctionnelle Et Mtabolique,1,6.0,6.0,6,6,6
Sources D'Clairage,1,6.0,4.0,6,6,6
Biologie Des Poissons,1,6.0,4.0,6,6,6
Services Web,2,6.0,3.5,8,4,12
Chimie Des Htro-Lments (Azote,1,6.0,1.0,6,6,6
Finite Starin,1,6.0,6.0,6,6,6
Self-*,1,6.0,5.0,6,6,6
Mcanique Des Matriaux & Procds,1,6.0,4.0,6,6,6
Cloud Computiong,1,6.0,5.0,6,6,6
Couches Minces,1,6.0,4.0,6,6,6
Clay,1,6.0,6.0,6,6,6
Relationship Marketing,2,6.0,5.5,9,3,12
Low-Power Vlsi Design,1,6.0,3.0,6,6,6
Reactor,1,6.0,3.0,6,6,6
Topologie Gnrale,1,6.0,4.0,6,6,6
Soufre Et Phosphore),1,6.0,1.0,6,6,6
Industrial R&D,1,6.0,2.0,6,6,6
Channel Modelling,1,6.0,3.0,6,6,6
Gestion Financire,1,6.0,6.0,6,6,6
Csr - Corporate Governance - Banking,1,6.0,5.0,6,6,6
Biomedical Engineering,1,6.0,2.0,6,6,6
Strong Mobility,1,6.0,5.0,6,6,6
Bi-Level Combinatorial Optimization Problems,1,6.0,4.0,6,6,6
Diversification Internationale,1,6.0,5.0,6,6,6
Ressources Gntiques De La Vigne,1,6.0,2.0,6,6,6
Bms,1,6.0,4.0,6,6,6
Tectonique Salifre,1,6.0,4.0,6,6,6
Vestibular Balance Disorders,1,6.0,4.0,6,6,6
Teaching And Learning Technologies,1,6.0,3.0,6,6,6
Supervised/Unsupervised Learning,1,6.0,5.0,6,6,6
Mdecine Interne,5,6.0,4.4,9,4,30
Complexity,1,6.0,5.0,6,6,6
Doctor In Physics,1,6.0,4.0,6,6,6
Gomodlisation,1,6.0,4.0,6,6,6
Diabetes,1,6.0,3.0,6,6,6
Machine Learning Deep Learning,1,6.0,4.0,6,6,6
Flow Cytometry,1,6.0,6.0,6,6,6
Free Surface Flow - Coastal Engineering,1,6.0,5.0,6,6,6
Medical Textile,1,6.0,3.0,6,6,6
Smart Shell Structures,1,6.0,6.0,6,6,6
Consulting,1,6.0,4.0,6,6,6
Financing Of Small And Medium-Sized,1,6.0,2.0,6,6,6
Economics Of Education,1,6.0,5.0,6,6,6
Lectrique,1,6.0,3.0,6,6,6
Traitement Automatique Des Langues,2,6.0,4.0,7,5,12
Social Sciences,1,6.0,3.0,6,6,6
Biological Sciences Wastewater Treatment,1,6.0,3.0,6,6,6
Health Institution Management,1,6.0,5.0,6,6,6
Immunology And Toxicology,1,6.0,5.0,6,6,6
University Teacher,1,6.0,4.0,6,6,6
Physique Des Polymres,1,6.0,5.0,6,6,6
Openmp,1,6.0,6.0,6,6,6
Microondes,1,6.0,4.0,6,6,6
Gestion Des Exploitations Agricoles Et Des,1,6.0,4.0,6,6,6
Marketing - Stratgie - Comportement Des,1,6.0,3.0,6,6,6
Bioactivity,1,6.0,4.0,6,6,6
Intelligent Transportation,2,6.0,4.5,6,6,12
Aquacuture,1,6.0,4.0,6,6,6
Pidd,1,6.0,4.0,6,6,6
Process Engineering,2,6.0,6.0,9,3,12
Organic Livestock Production,1,6.0,6.0,6,6,6
Integrated Water Ressources,1,6.0,6.0,6,6,6
Shape Memory Alloys,1,6.0,5.0,6,6,6
Bpmn,1,6.0,3.0,6,6,6
Biotechnologie Vgtale Culture In Vitro,1,6.0,5.0,6,6,6
Diseases Registries,1,6.0,4.0,6,6,6
Matriaux-Fatigue-Surface-Welding-Shot,1,6.0,5.0,6,6,6
Graphical Model,1,6.0,6.0,6,6,6
Perovskite Manganite,1,6.0,5.0,6,6,6
Economie Industrielle & Economie De,1,6.0,4.0,6,6,6
Handover,1,6.0,3.0,6,6,6
Public Health Governance,1,6.0,5.0,6,6,6
Analog And Digital Circuit Design,1,6.0,2.0,6,6,6
Biomedical Data Science,1,6.0,2.0,6,6,6
Sciences Marines,1,6.0,6.0,6,6,6
Tal,2,6.0,4.5,9,3,12
Solar Still,1,6.0,5.0,6,6,6
Flood Risk Management,1,6.0,6.0,6,6,6
Financial Reporting Quality,1,6.0,4.0,6,6,6
Comptabilit Intermdiaire,1,6.0,4.0,6,6,6
Security-Encryption-Watermarking,1,6.0,5.0,6,6,6
Scurit Des Donnes,1,6.0,3.0,6,6,6
Systmes Mcatroniques,1,6.0,4.0,6,6,6
Deep Learning,75,5.96,5.96,43,0,447
Energy Harvesting,9,5.89,5.67,20,1,53
Diagnostic,6,5.83,4.83,9,1,35
Energy Storage,5,5.8,6.6,19,1,29
Chaos,5,5.8,5.4,13,2,29
Corporate Governance,26,5.77,5.73,25,1,150
Numerical Simulation,4,5.75,4.75,9,4,23
Electronique,8,5.75,4.62,12,3,46
Behavioral Finance,8,5.75,5.38,11,1,46
Human-Computer Interaction,3,5.67,3.33,9,2,17
Datamining,3,5.67,5.0,11,3,17
Tlcommunications,3,5.67,4.33,10,2,17
Network Design,3,5.67,4.0,9,3,17
Macroconomie,3,5.67,4.67,8,1,17
Database,3,5.67,4.33,9,2,17
Hpc,3,5.67,5.0,11,3,17
Agricultural Entomology,3,5.67,3.67,8,2,17
English,3,5.67,6.0,12,2,17
Gouvernance D'Entreprise,3,5.67,4.67,8,3,17
Soil Science,3,5.67,5.67,11,2,17
Data Science,18,5.67,4.39,15,0,102
Finance,49,5.59,5.96,23,0,274
Environment,12,5.58,4.58,11,2,67
Security Risk Management,2,5.5,4.5,9,2,11
Fiabilit,2,5.5,4.0,8,3,11
Bond Graph Modeling,2,5.5,4.0,8,3,11
Turbulence,4,5.5,4.25,10,2,22
Business Computing,2,5.5,4.5,9,2,11
Structural Analysis,2,5.5,5.0,10,1,11
Antenne,2,5.5,3.0,7,4,11
Food Safety,2,5.5,4.0,8,3,11
Nanofluids,2,5.5,4.0,8,3,11
Mimo,2,5.5,6.0,10,1,11
Verification,2,5.5,2.5,7,4,11
Cnn,2,5.5,5.5,10,1,11
Clinical Immunology,2,5.5,3.5,9,2,11
Gestion Des Connaissances,2,5.5,3.0,7,4,11
Big Data Analytics,2,5.5,5.0,10,1,11
Rosion,2,5.5,5.0,9,2,11
Homogenization,2,5.5,5.5,10,1,11
Inverse Problem,2,5.5,3.5,7,4,11
Predictive Control,2,5.5,3.5,7,4,11
Sensor Networks,2,5.5,6.0,10,1,11
Chimie Physique,2,5.5,4.5,9,2,11
Neurophysiologie,2,5.5,3.5,7,4,11
Radiologie,2,5.5,2.0,7,4,11
Visualisation,2,5.5,3.0,7,4,11
Economtrie,2,5.5,4.5,8,3,11
Ann,2,5.5,3.5,9,2,11
Accretion Disks,2,5.5,5.0,10,1,11
Dss,2,5.5,4.0,9,2,11
Heuristics,4,5.5,4.5,8,3,22
Bi,2,5.5,5.0,7,4,11
Electromagnetic Compatibility,2,5.5,4.0,8,3,11
Hematology,2,5.5,5.5,10,1,11
Laser,2,5.5,4.0,9,2,11
Rock Mechanics,2,5.5,5.0,9,2,11
Business Intelligence,11,5.45,5.82,16,0,60
Fuzzy Logic,9,5.44,4.33,11,1,49
Video Coding,5,5.4,2.6,10,3,27
Informatique,23,5.35,6.17,46,0,123
Tqm,3,5.33,5.0,11,2,16
Prevention,3,5.33,3.33,8,1,16
Tlcommunication,3,5.33,4.67,8,4,16
Nosql,3,5.33,5.33,13,1,16
Orthogonal Polynomials,3,5.33,4.33,9,1,16
Finite Element Modeling,3,5.33,4.33,10,1,16
Neural Network,3,5.33,4.67,11,1,16
Statistique,3,5.33,4.33,8,1,16
Lattice Boltzmann Method,4,5.25,5.75,14,2,21
Fiscalit,4,5.25,2.75,9,2,21
Biosensor,4,5.25,4.75,9,1,21
Data Warehousing,4,5.25,6.75,13,1,21
Informatique Industrielle,4,5.25,2.5,8,2,21
Metamaterials,4,5.25,3.75,8,3,21
Risk Management,5,5.2,5.4,15,1,26
Web Services,5,5.2,6.0,14,1,26
Sustainable Development,12,5.17,4.25,12,1,62
Microlectronique,6,5.17,4.0,11,2,31
Innovation,13,5.15,4.08,17,1,67
Corporate Finance,11,5.09,3.64,10,2,56
Graph Theory,1,5.0,0.0,5,5,5
Concept Drift,2,5.0,4.5,6,4,10
Microbiology And Environmental,1,5.0,4.0,5,5,5
Models@Runtime,1,5.0,3.0,5,5,5
Intelligent Decision Support Systems,1,5.0,2.0,5,5,5
Economie Bleue,1,5.0,4.0,5,5,5
Anatomie Pathologique,1,5.0,3.0,5,5,5
Marketing Agro-Alimentaire,1,5.0,3.0,5,5,5
Ncd Prevention,1,5.0,3.0,5,5,5
Word Embedding,1,5.0,4.0,5,5,5
Smart Contract,1,5.0,3.0,5,5,5
Gnie Elctrique,1,5.0,0.0,5,5,5
Dsp,1,5.0,3.0,5,5,5
Et Communautaire,1,5.0,1.0,5,5,5
Vector Norms,1,5.0,4.0,5,5,5
Histoire De L'Ducat,1,5.0,3.0,5,5,5
Facial Expressions Reconstruction,1,5.0,2.0,5,5,5
Commerce International - Commerce Et,1,5.0,4.0,5,5,5
Multi-Criteria Scheduling Problems,1,5.0,2.0,5,5,5
Agroconomie,1,5.0,2.0,5,5,5
Frequency Selective Surfaces,1,5.0,3.0,5,5,5
Classical And Quantum Probability,1,5.0,2.0,5,5,5
Panel Data,1,5.0,3.0,5,5,5
Continuum Mechanics,1,5.0,4.0,5,5,5
Photonic Quantum Gates,1,5.0,1.0,5,5,5
Condensed Matter And Nanocomposite,1,5.0,4.0,5,5,5
Pistmologie,1,5.0,3.0,5,5,5
Classification Et Reconnaissance De La Parole,1,5.0,3.0,5,5,5
Biomedical Imaging,1,5.0,5.0,5,5,5
Chimie Verte,2,5.0,4.0,6,4,10
Economic,1,5.0,0.0,5,5,5
Photovoltaic,1,5.0,3.0,5,5,5
Radio Wireless Networks Signal Processing 5G,1,5.0,2.0,5,5,5
Aquatic Ecotoxicology,1,5.0,4.0,5,5,5
Ensemble Methods,1,5.0,4.0,5,5,5
Allergy,1,5.0,3.0,5,5,5
Computer Science - Artificial Intelligence,1,5.0,2.0,5,5,5
Qualit De L'Information Comptable,1,5.0,3.0,5,5,5
Service Recommandation,1,5.0,4.0,5,5,5
Shvc,1,5.0,0.0,5,5,5
Supervision,3,5.0,3.67,9,2,15
Locally Compact Groups,1,5.0,1.0,5,5,5
Bio-Cologie,1,5.0,4.0,5,5,5
Virtual Reality,1,5.0,2.0,5,5,5
Case-Control Studies,1,5.0,3.0,5,5,5
Intelligence,1,5.0,1.0,5,5,5
Modlisation De La Topographie En Fraisage,1,5.0,4.0,5,5,5
Mcanique Automobile,1,5.0,3.0,5,5,5
Analyse,1,5.0,4.0,5,5,5
Microwave,5,5.0,4.0,9,1,25
Thorie Des Points Critiques,1,5.0,2.0,5,5,5
Systmes Complexes,2,5.0,2.0,8,2,10
End-To-End Delay,1,5.0,4.0,5,5,5
Sciences De Sol,1,5.0,3.0,5,5,5
Eco-Physiologie Vgtale,1,5.0,2.0,5,5,5
Electromagnetic Band-Gap,1,5.0,3.0,5,5,5
Fractals De Rauzy,1,5.0,1.0,5,5,5
Electronic And Communications Engineering,1,5.0,2.0,5,5,5
Dictionnaires Lmf,1,5.0,1.0,5,5,5
Smt,1,5.0,2.0,5,5,5
Optimisatization And Analysis Of Hybrid Dyn,1,5.0,5.0,5,5,5
Electrical Networks,1,5.0,3.0,5,5,5
Web Service,5,5.0,3.2,9,2,25
Coud Networking Placement,1,5.0,4.0,5,5,5
Thorie Des Probabilits Et Applications,1,5.0,4.0,5,5,5
Minimally Invasive Thoracic Surgery,1,5.0,1.0,5,5,5
Sustainable Energy,1,5.0,4.0,5,5,5
Ocean Modeling,1,5.0,5.0,5,5,5
Inflation,1,5.0,2.0,5,5,5
Cloud Services Discovery And Composition,1,5.0,2.0,5,5,5
Cognitive Modelling,1,5.0,4.0,5,5,5
Biogographie,1,5.0,4.0,5,5,5
Model Driven Engineering,1,5.0,3.0,5,5,5
Surface Modification Of Materials,1,5.0,4.0,5,5,5
Filtre De Kalman,1,5.0,3.0,5,5,5
Heart Failure,1,5.0,4.0,5,5,5
Fracture Mechanics,1,5.0,4.0,5,5,5
Estimation And Control Systems,1,5.0,4.0,5,5,5
Vision Research,1,5.0,3.0,5,5,5
Physicsm Semiconductors,1,5.0,4.0,5,5,5
Clinical Application Of Ai,1,5.0,2.0,5,5,5
Programmation Linaire,1,5.0,5.0,5,5,5
Nijenhuis Operators,1,5.0,2.0,5,5,5
Combinatorial Optimization Problems,2,5.0,4.0,5,5,10
Numerical Simulation Methods,1,5.0,2.0,5,5,5
Renewable Energy Systems,1,5.0,4.0,5,5,5
Cas-Based Reasoning,1,5.0,1.0,5,5,5
Electronic Structure,1,5.0,3.0,5,5,5
Noncompact Variationnal Problems,1,5.0,2.0,5,5,5
Fluid Mechanics And Conjugate Heat,1,5.0,2.0,5,5,5
Emergency Medecine,1,5.0,4.0,5,5,5
Estimation Non Biaise,1,5.0,3.0,5,5,5
Cohmology,1,5.0,2.0,5,5,5
Earthquake Engineering,1,5.0,5.0,5,5,5
Statistical Learning,1,5.0,1.0,5,5,5
Delay-Based Congestion Control,1,5.0,4.0,5,5,5
Assistant Professor,1,5.0,1.0,5,5,5
Flow Shop,1,5.0,5.0,5,5,5
Control And Optimization Of Nonlinear,1,5.0,5.0,5,5,5
Odes And Pdes,1,5.0,3.0,5,5,5
Hevc,1,5.0,0.0,5,5,5
Reading-Writing Convergences,1,5.0,2.0,5,5,5
Power Electronics - Advanced Control,1,5.0,2.0,5,5,5
Combinatoire Des Mot,1,5.0,1.0,5,5,5
Economique,1,5.0,3.0,5,5,5
Computer,1,5.0,2.0,5,5,5
Macroeconomic Modelling,1,5.0,4.0,5,5,5
Nlu,1,5.0,4.0,5,5,5
Knowledge Engineering And Management,1,5.0,4.0,5,5,5
Video Summarization,1,5.0,2.0,5,5,5
Engineering Design,1,5.0,0.0,5,5,5
Lc-Ms,1,5.0,1.0,5,5,5
Durabilit Et Economie De L'Environnement,1,5.0,3.0,5,5,5
Conception Des Systmes D'Information,1,5.0,2.0,5,5,5
Didactique Des Mathmatiques,1,5.0,3.0,5,5,5
Chemical & Indutsrial Engineering Processes,1,5.0,1.0,5,5,5
Network Performance Evaluation,1,5.0,2.0,5,5,5
Corporate Governance-Csr-Behavioral,1,5.0,4.0,5,5,5
Polymeric Membrane,1,5.0,2.0,5,5,5
Mt,1,5.0,2.0,5,5,5
Organizational Behavior,1,5.0,3.0,5,5,5
Chimie Des Eaux,1,5.0,3.0,5,5,5
Dpt Des Couches Minces,1,5.0,2.0,5,5,5
Aadl (Architecture Analysis & Design,1,5.0,3.0,5,5,5
Behavior,1,5.0,2.0,5,5,5
Marketing Et Communication,1,5.0,5.0,5,5,5
Plant,1,5.0,3.0,5,5,5
Water Management,3,5.0,3.67,9,2,15
Supply Chian Management,1,5.0,0.0,5,5,5
Paritial Differential Equations,1,5.0,1.0,5,5,5
Machine Control,1,5.0,2.0,5,5,5
Pseudospectrum,1,5.0,2.0,5,5,5
Bioengineering,1,5.0,5.0,5,5,5
Stemming,1,5.0,3.0,5,5,5
Green Synthesis,1,5.0,3.0,5,5,5
Applied Math,1,5.0,3.0,5,5,5
Numerical Modeling,1,5.0,5.0,5,5,5
Computer Science And Technology,1,5.0,1.0,5,5,5
Multiagent,1,5.0,2.0,5,5,5
Relaying Power System Protection (Fault,1,5.0,3.0,5,5,5
Diabetic Retinopathy,1,5.0,3.0,5,5,5
Ecologie Fonctionnelle,1,5.0,4.0,5,5,5
Firmes Familiales,1,5.0,3.0,5,5,5
Par Apprentissage Itratif (Ilc). Systmes Com,1,5.0,3.0,5,5,5
Homogeneous Catalysis,1,5.0,4.0,5,5,5
Mdecine Prventive,1,5.0,1.0,5,5,5
Variability,1,5.0,3.0,5,5,5
Renewable Energy Sources,1,5.0,4.0,5,5,5
Tudes Internationales,1,5.0,0.0,5,5,5
Machining Method,1,5.0,0.0,5,5,5
Ieee 802.15.4/Zigbee,1,5.0,3.0,5,5,5
Edp Elliptiques,1,5.0,2.0,5,5,5
Vats,1,5.0,1.0,5,5,5
Histoire Et Pistmologie Des Mathmatiques,1,5.0,3.0,5,5,5
Probabilits,2,5.0,4.0,8,2,10
3D Computer Graphics,1,5.0,2.0,5,5,5
Context-Awareness & Gamification,1,5.0,2.0,5,5,5
Diagnostic/ Machine Learning,1,5.0,4.0,5,5,5
Event Extraction,1,5.0,3.0,5,5,5
Ctogntique,1,5.0,4.0,5,5,5
Scheduling Problems,2,5.0,3.5,9,1,10
Representations Theory,1,5.0,2.0,5,5,5
Evaluation,2,5.0,2.5,6,4,10
Btiments Intelligents,1,5.0,4.0,5,5,5
Analyse Variationnelle,1,5.0,1.0,5,5,5
Microelectronics And Nanostructures,1,5.0,3.0,5,5,5
Ceramic Membrane,1,5.0,2.0,5,5,5
Clinical Research,1,5.0,3.0,5,5,5
Quantum Databases,1,5.0,1.0,5,5,5
Rats,1,5.0,1.0,5,5,5
Vehicular Networks,3,5.0,2.67,6,3,15
Authenticity In Elt,1,5.0,2.0,5,5,5
Sahbimarrouchi@Yahoo.Fr,1,5.0,3.0,5,5,5
